ID,Phase,Area,Task,Details,Status,Notes
0.1,0. Prototype (already built),Setup,Expo project + GitHub repo,"Expo SDK 57, TypeScript, EAS config, repo maith96/kasongesha-royale",Done,
0.2,0. Prototype (already built),Board,Circle spiral board with divider,"Chalk spiral, divider line, START and HOME markers",Done,
0.3,0. Prototype (already built),Rules,Core rules,Stopping on a line or leaving the spiral = back to start; sliding over lines allowed; stop inside HOME = win,Done,
0.4,0. Prototype (already built),Controls,Pool-style controls,"Tap board to aim (direction-only guide), vertical power bar on the right, drag down and release",Done,
0.5,0. Prototype (already built),Visuals,Shoe behind the stone,Sneaker pulls back with power,Done,
0.6,0. Prototype (already built),Layout,"Landscape layout, centred board","Left panel (players, messages), board centred, power bar right",Done,
0.7,0. Prototype (already built),Layout,Fullscreen,Status bar and Android nav bar hidden,Done,
0.8,0. Prototype (already built),Stages,"Circle, Square, Triangle stages","Polygon spirals with straight, level sides; picked in menu; Next stage after a win",Done,
0.9,0. Prototype (already built),Surfaces,"Dirt, Sand, Cement, Tile + Rainy",Friction per surface; rain makes everything ~1.7x slipperier; picked in menu,Done,
0.10,0. Prototype (already built),Multiplayer,Pass-and-play 1-4 players,One kick per turn (to be replaced by the Phase 2 turn system),Done,
0.11,0. Prototype (already built),Quality,Unit tests for rules and surfaces,"32 tests: every rule on every stage, surface slipperiness order",Done,
0.12,0. Prototype (already built),Controls,Balance meter (hopping on one leg),Built but switched off (BALANCE_ENABLED) until it plays well,Parked,
1.1,1. Foundation,Physics,Fixed-timestep deterministic physics,"Same kick gives the same result on every phone; required for fairness, replays and online play",Done,
1.2,1. Foundation,Physics,Extract pure kick simulation,"simulateKick(board, surface, start, angle, power) -> path + result, used by game, replays and server",Done,
1.3,1. Foundation,Data,Record kick inputs,Log aim angle + power (+ result) for every kick in a match,Done,
1.4,1. Foundation,Replay,Replay player,Play back recorded kicks exactly; skip and 2x speed,Done,"Watch replay on the results screen: pause, 1x/2x, skip, restart"
1.5,1. Foundation,Scoring,Kick counter,Count kicks per player per round; a fail still counts as a kick,Done,
1.6,1. Foundation,Scoring,Par per stage,"Initial par guesses per stage, tuned in playtests",Done,"First guesses: Circle 12, Square 12, Triangle 10"
1.7,1. Foundation,Scoring,Stars (solo),"3 stars <= par, 2 stars <= par+3, 1 star = finished",Done,
1.8,1. Foundation,UI,Results screen,"Ranking, kicks, points breakdown, stars; Rematch / Next stage / Menu",Done,
1.9,1. Foundation,Physics,Seeded randomness,Rain effects (and balance meter if it returns) seeded per match so all players get identical conditions,Done,Rain visuals seeded; balance meter (parked) still uses Math.random
2.1,2. Turn system (pass-and-play),Rules,Kicks-per-turn setting (1-3),"Match setting; up to N kicks per turn, a fail ends the turn early",Done,Solo always plays 1 kick per turn
2.2,2. Turn system (pass-and-play),Rules,First to HOME wins,Winner is the first player to stop inside HOME,Done,
2.3,2. Turn system (pass-and-play),Rules,Equal turns rule,"When someone reaches HOME, finish the round so everyone has had the same number of turns",Done,
2.4,2. Turn system (pass-and-play),Rules,Tiebreak,"Fewer kicks, then fewer fails, then sudden-death kick closest to HOME centre",In progress,Fewer kicks then fewer fails done; sudden-death kick pending decision D.6
2.5,2. Turn system (pass-and-play),Rules,Rotate first player on rematch,Removes first-mover advantage over a series,Done,
2.6,2. Turn system (pass-and-play),Scoring,Points system,"Win +50, reach HOME +20, +5 per kick under par, +10 per shortcut, +5 per clean streak of 3",Done,
2.7,2. Turn system (pass-and-play),UI,Turn HUD,"""Kick 2 of 3"", per-player kicks and points in the left panel",Done,"Live: kick X of N, round, per-player progress and kicks. Points shown on the results screen."
2.8,2. Turn system (pass-and-play),Menu,Kicks-per-turn picker in menu,1 / 2 / 3 selector for multiplayer,Done,
2.9,2. Turn system (pass-and-play),Balance,Tune points values,Adjust after playtesting,To do,
3.1,3. Campaign,Levels,12-level campaign list,"1-3 Circle (Dirt, Sand, Cement); 4-6 Square (Dirt, Cement, Tile); 7-9 Triangle (Dirt, Sand, Tile); 10-12 Rainy",Done,"12 levels + 3 bonus; par = stage par +2 sand, +1 tile, +1 wet (guesses)"
3.2,3. Campaign,Progress,Unlock next level on finish,,Done,
3.3,3. Campaign,Progress,Star-gated bonus levels,Total stars unlock extras,Done,Bonus 1/2/3 need 12/24/33 stars
3.4,3. Campaign,Progress,Save progress on the phone,"AsyncStorage: stars, unlocked levels",Done,AsyncStorage key kasongesha.progress.v1
3.5,3. Campaign,Menu,Campaign vs Free play menu,Keep current free choice of shape/surface/weather as Free play,Done,
3.6,3. Campaign,Balance,Tune par and friction per level,Playtest each level,To do,
4.1,4. Feel & polish,Audio,Sounds,"Kick, slide, fail, win",To do,
4.2,4. Feel & polish,Effects,Dust / splash where the stone stops,Splash when wet,To do,
4.3,4. Feel & polish,Effects,Screen shake on fail,,To do,
4.4,4. Feel & polish,Feedback,"""Close one!"" message",When the stone stops just short of a line,To do,
4.5,4. Feel & polish,Feedback,Last-kick landing marker,Faint marker to learn power vs distance,To do,
4.6,4. Feel & polish,Feedback,Sheng commentary lines,More variety in result messages,To do,
4.7,4. Feel & polish,Art,Better stone and shoe art,,To do,
4.8,4. Feel & polish,Art,App icon and splash screen,,To do,
4.9,4. Feel & polish,Controls,Fix and re-enable balance meter,Optional; maybe as a hard-mode modifier,Parked,
5.1,5. Online turn-based multiplayer,Backend,New Firebase project,Separate from Hanga,To do,
5.2,5. Online turn-based multiplayer,Backend,Auth,"Start anonymous, upgrade to phone number or Google (decision open)",To do,
5.3,5. Online turn-based multiplayer,Backend,Match data model,"Firestore: board, players, settings, kick inputs, results",To do,
5.4,5. Online turn-based multiplayer,Online,Live turns,Both online: watch kicks as they happen; 30 s turn timer,To do,
5.5,5. Online turn-based multiplayer,Online,Async turns + push notifications,"""Kevo amepiga, your turn!""",To do,
5.6,5. Online turn-based multiplayer,Online,Replay opponent kicks on open,Uses Phase 1 replay player; skip / 2x,To do,
5.7,5. Online turn-based multiplayer,Social,Emote reactions,Aii! / Umeguza! / Poa sana! / Kasongesha! during opponent turns,To do,
5.8,5. Online turn-based multiplayer,Online,Missed turns,Skip after timeout; 3 missed turns = forfeit,To do,
5.9,5. Online turn-based multiplayer,Social,Friend invites + rematch,Private match via code or WhatsApp link,To do,
5.10,5. Online turn-based multiplayer,Backend,Server-side replay verification,Cloud Function replays kick inputs with the same physics to confirm results (anti-cheat),To do,
5.11,5. Online turn-based multiplayer,Backend,Matchmaking by rank,,To do,
6.1,6. Progression & economy,Ranks,Ranks / leagues,Chalk -> Stone -> Marble -> Gold -> Royale,To do,
6.2,6. Progression & economy,Ranks,Monthly seasons,Reset + exclusive cosmetic season rewards,To do,
6.3,6. Progression & economy,Economy,Coins currency,"Earned from matches, streaks, seasons (name TBD: bob / shilingi)",To do,
6.4,6. Progression & economy,Economy,Cosmetic shop,"Stones (bottle top, marble, mango seed), shoes (Bata, sandals, sneakers), chalk colours, locations; never pay-to-win",To do,
6.5,6. Progression & economy,Economy,Cosmetics visible to opponents,,To do,
6.6,6. Progression & economy,Retention,Daily challenge + leaderboard,Same board for everyone each day,To do,
6.7,6. Progression & economy,Retention,First win of the day bonus,,To do,
6.8,6. Progression & economy,Social,Friends list + head-to-head record,,To do,
7.1,"7. Royale, Tournament & clubs",Royale,Royale mode (simultaneous),Everyone kicks at the same time on their own copy of the board; bottom half eliminated each round,To do,
7.2,"7. Royale, Tournament & clubs",Royale,Royale ya Jioni evening event,Scheduled daily event,To do,
7.3,"7. Royale, Tournament & clubs",Tournament,Tournament: tables of 4,"Turn-based tables, winners advance through a bracket",To do,
7.4,"7. Royale, Tournament & clubs",Tournament,Spectate final table,Eliminated players can watch,To do,
7.5,"7. Royale, Tournament & clubs",Social,Clubs (mitaa / schools),Weekly club leaderboards,To do,
7.6,"7. Royale, Tournament & clubs",Content,Rotating modifiers and new shapes,"e.g. star shape, wind; weekly featured boards",To do,
8.1,8. Monetization & launch,Ads,Rewarded ad: undo a fail,Once per round instead of back to start (AdMob),To do,
8.2,8. Monetization & launch,Ads,Rewarded ad: double coins,,To do,
8.3,8. Monetization & launch,IAP,In-app purchases,"RevenueCat: remove ads, premium skins, coin packs; store billing only (no M-Pesa for digital goods)",To do,
8.4,8. Monetization & launch,IAP,Season pass,Free and paid tracks,To do,
